TimeSample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
DLE2,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLE3,460,0,0,0,0,0,0,0,0,0,40,73.33333333,0,0,0,0,0,0,0,0,6.666666667,3.333333333,0,13.33333333,23.33333333,0,0,3.333333333,20,0,0,0,0,3.333333333,0
DLE4,1073.333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLE5,1236.666667,1481.111111,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE1,0,0,3.333333333,0,0,0,23.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE2,10,0,0,0,0,0,6.666666667,3.333333333,93.33333333,0,0,6.666666667,0,0,0,6.666666667,0,0,3.333333333,0,30,0,0,190,196.6666667,106.6666667,0,0,6.666666667,40,0,13.33333333,0,0,0
DHE3,5072.222222,2818.888889,10,0,0,0,0,53.33333333,741.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE4,3965.555556,2866.666667,13.33333333,0,0,0,33.33333333,126.6666667,63.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE5,4463.333333,4480,1481.111111,0,0,0,6.666666667,106.6666667,170,3.333333333,3.333333333,0,0,0,0,0,0,0,0,3.333333333,3.333333333,0,0,223.3333333,200,306.6666667,1194.444444,6.666666667,0,16.66666667,0,0,13.33333333,16.66666667,0
ELE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.2222222,332.2222222,792.2222222,434.4444444,226.6666667,116.6666667,306.6666667,332.2222222,63.33333333
ELE2,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
