Cycle,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
B,1.04139268515823,2.04532297878666,2.1884597,2.1281838,2.00432137378264,1.83037478,1.83037478,1.78532983501077,1.24715461,1.44195684,1.61278385671974,1.15634720,1.04139268515823,1.44195684,1.04139268515823,1.32221929473392,0.884606581,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0.884606581,1.15634720,2.14921911265538,2.2656039,2.30319605742049,1.85125834871908,1.85125834871908,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0.884606581,1.24715461,1.32221929473392,1.80843605,0.636822098,0.884606581,1.04139268515823,0.636822098,1.32221929473392,0.884606581,1.15634720,0,0.636822098,1.24715461,1.32221929473392,1.61278385671974,1.24715461,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1.49136169383427,1.44195684,1.04139268515823,1.57595719,1.53571597,1.24715461,0.636822098,0,0,0.636822098,0.636822098,0,1.04139268515823,0.636822098,0.636822098,0.884606581,0.636822098,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1.67821478,1.53571597,1.53571597,1.73506635,1.44195684,1.38620161,1.38620161,1.04139268515823,0.884606581,0.636822098,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0.636822098,0.636822098,1.24715461,1.32221929473392,1.44195684,1.44195684,1.24715461,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0.636822098,0.636822098,1.32221929473392,1.83037478,1.85125834871908,1.73506635,1.87118361,1.94283449,1.92599927,1.76092485,1.61278385671974,1.38620161,0.884606581,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0.636822098,1.32221929473392,1.87118361,1.98974637,1.80843605,1.98974637,1.49136169383427,1.32221929473392,1.24715461,1.32221929473392,1.15634720,1.38620161,1.38620161,1.24715461,1.32221929473392,0.884606581,0.636822098,0,0,0,0,0,1.38620161,1.32221929473392,0.884606581,1.04139268515823,0,1.04139268515823,0.636822098,0,1.15634720,1.15634720,0.636822098,0.636822098
C,2.04532297878666,1.89023467,2.1281838,1.89023467,1.98974637,1.87118361,1.76092485,1.15634720,0,0,0.884606581,1.76092485,1.95904139232109,1.85125834871908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1.89023467,2.0320813,2.00432137378264,2.1884597,2.04532297878666,1.76092485,1.61278385671974,1.15634720,0.636822098,0,0.636822098,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1.04139268515823,1.80843605,1.94283449,1.98974637,1.95904139232109,1.97466518,1.61278385671974,1.04139268515823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0.636822098,1.04139268515823,1.53571597,1.73506635,1.85125834871908,1.85125834871908,1.32221929473392,0.884606581,0.884606581,0.884606581,1.24715461,0.884606581,0.884606581,1.24715461,0.636822098,0.636822098,0,0,0.636822098,0.636822098,0,0,1.15634720,0,0,0,0,0,0.636822098,0,0,0,0,0,0
C,0,0,1.49136169383427,1.73506635,1.38620161,1.80843605,1.70757017609794,0.636822098,1.24715461,1.32221929473392,0.884606581,1.15634720,0.884606581,1.15634720,0.884606581,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,1.15634720,0.884606581,1.15634720,1.38620161,1.04139268515823,1.32221929473392,0.636822098,0,0.636822098,0,1.15634720,1.38620161,1.24715461,1.15634720,1.04139268515823,1.15634720,1.32221929473392,1.15634720,0,1.04139268515823,1.32221929473392,1.38620161,0.636822098,0.636822098,0.636822098,1.04139268515823,0.636822098,1.24715461,0.636822098,0.884606581,0,0,0,0,0
D,1.49136169383427,1.57595719,1.57595719,1.53571597,1.38620161,1.49136169383427,1.38620161,1.38620161,1.15634720,0.884606581,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0.884606581,1.44195684,1.44195684,1.24715461,1.44195684,1.24715461,1.04139268515823,0.884606581,0.884606581,0,0.636822098,0,1.24715461,1.49136169383427,1.15634720,0.884606581,1.24715461,0.884606581,0,0.636822098,0,0,0,0,0,0.884606581,0,0,0,0,0,0,0,0,0
